date,value
2020-03-02,95
2020-03-03,101
2020-03-04,95
2020-03-05,98
2020-03-06,99
2020-03-07,99
2020-03-08,95
2020-03-09,86
2020-03-10,88
2020-03-11,89
2020-03-12,81
2020-03-13,74
2020-03-14,65
2020-03-15,47
2020-03-16,33
2020-03-17,15
2020-03-18,8
2020-03-19,7
2020-03-20,6
2020-03-21,5
2020-03-22,6
2020-03-23,7
2020-03-24,6
2020-03-25,6
2020-03-26,6
2020-03-27,5
2020-03-28,5
2020-03-29,5
2020-03-30,6
2020-03-31,6
2020-04-01,5
2020-04-02,5
2020-04-03,5
2020-04-04,4
2020-04-05,5
2020-04-06,5
2020-04-07,5
2020-04-08,5
2020-04-09,5
2020-04-10,5
2020-04-11,5
2020-04-12,5
2020-04-13,4
2020-04-14,6
2020-04-15,5
2020-04-16,5
2020-04-17,5
2020-04-18,5
2020-04-19,5
2020-04-20,6
2020-04-21,6
2020-04-22,6
2020-04-23,6
2020-04-24,5
2020-04-25,5
2020-04-26,6
2020-04-27,7
2020-04-28,7
2020-04-29,6
2020-04-30,6
2020-05-01,4
2020-05-02,6
2020-05-03,7
2020-05-04,8
2020-05-05,8
2020-05-06,8
2020-05-07,9
2020-05-08,7
2020-05-09,8
2020-05-10,13
2020-05-11,23
2020-05-12,22
2020-05-13,22
2020-05-14,21
2020-05-15,23
2020-05-16,30
2020-05-17,31
2020-05-18,26
2020-05-19,28
2020-05-20,30
2020-05-21,28
2020-05-22,28
2020-05-23,32
2020-05-24,37
2020-05-25,30
2020-05-26,32
2020-05-27,33
2020-05-28,32
2020-05-29,36
2020-05-30,45
2020-05-31,46
2020-06-01,38
2020-06-02,48
2020-06-03,42
2020-06-04,41
2020-06-05,42
2020-06-06,52
2020-06-07,49
2020-06-08,43
2020-06-09,48
2020-06-10,49
2020-06-11,47
2020-06-12,48
2020-06-13,60
2020-06-14,56
2020-06-15,50
2020-06-16,56
2020-06-17,55
2020-06-18,55
2020-06-19,56
2020-06-20,63
2020-06-21,69
2020-06-22,57
2020-06-23,64
2020-06-24,65
2020-06-25,66
2020-06-26,63
2020-06-27,67
2020-06-28,69
2020-06-29,61
2020-06-30,68
2020-07-01,68
2020-07-02,67
2020-07-03,67
2020-07-04,71
2020-07-05,72
2020-07-06,64
2020-07-07,71
2020-07-08,71
2020-07-09,68
2020-07-10,64
2020-07-11,61
2020-07-12,60
2020-07-13,54
2020-07-14,56
2020-07-15,65
2020-07-16,64
2020-07-17,65
2020-07-18,68
2020-07-19,70
2020-07-20,63
2020-07-21,68
2020-07-22,67
2020-07-23,65
2020-07-24,62
2020-07-25,63
2020-07-26,66
2020-07-27,61
2020-07-28,65
2020-07-29,64
2020-07-30,62
2020-07-31,55
2020-08-01,56
2020-08-02,61
2020-08-03,52
2020-08-04,54
2020-08-05,53
2020-08-06,51
2020-08-07,48
2020-08-08,47
2020-08-09,51
2020-08-10,47
2020-08-11,48
2020-08-12,48
2020-08-13,46
2020-08-14,45
2020-08-15,45
2020-08-16,51
2020-08-17,48
2020-08-18,52
2020-08-19,48
2020-08-20,48
2020-08-21,48
2020-08-22,50
2020-08-23,64
2020-08-24,56
2020-08-25,61
2020-08-26,61
2020-08-27,61
2020-08-28,60
2020-08-29,63
2020-08-30,70
2020-08-31,73
2020-09-01,78
2020-09-02,79
2020-09-03,80
2020-09-04,80
2020-09-05,81
2020-09-06,84
2020-09-07,84
2020-09-08,88
2020-09-09,85
2020-09-10,84
2020-09-11,84
2020-09-12,92
2020-09-13,92
2020-09-14,83
2020-09-15,88
2020-09-16,89
2020-09-17,90
2020-09-18,87
2020-09-19,90
2020-09-20,96
2020-09-21,85
2020-09-22,90
2020-09-23,86
2020-09-24,85
2020-09-25,84
2020-09-26,87
2020-09-27,82
2020-09-28,79
2020-09-29,84
2020-09-30,85
2020-10-01,85
2020-10-02,84
2020-10-03,89
2020-10-04,84
2020-10-05,83
2020-10-06,81
2020-10-07,81
2020-10-08,80
2020-10-09,82
2020-10-10,87
2020-10-11,81
2020-10-12,76
2020-10-13,80
2020-10-14,77
2020-10-15,79
2020-10-16,82
2020-10-17,76
2020-10-18,84
2020-10-19,69
2020-10-20,70
2020-10-21,69
2020-10-22,67
2020-10-23,67
2020-10-24,75
2020-10-25,78
2020-10-26,64
2020-10-27,67
2020-10-28,69
2020-10-29,78
2020-10-30,27
2020-10-31,21
2020-11-01,26
2020-11-02,31
2020-11-03,28
2020-11-04,27
2020-11-05,27
2020-11-06,26
2020-11-07,20
2020-11-08,21
2020-11-09,30
2020-11-10,30
2020-11-11,18
2020-11-12,28
2020-11-13,27
2020-11-14,21
2020-11-15,21
2020-11-16,31
2020-11-17,31
2020-11-18,28
2020-11-19,28
2020-11-20,28
2020-11-21,24
2020-11-22,23
2020-11-23,31
2020-11-24,32
2020-11-25,30
2020-11-26,30
2020-11-27,30
2020-11-28,43
2020-11-29,38
2020-11-30,38
2020-12-01,43
2020-12-02,41
2020-12-03,41
2020-12-04,43
2020-12-05,50
2020-12-06,46
2020-12-07,44
2020-12-08,45
2020-12-09,44
2020-12-10,43
2020-12-11,45
2020-12-12,53
2020-12-13,50
2020-12-14,52
